customerID,value_segment,MonthlyCharges,Contract,tenure,Churn,churn_probability
2720-WGKHP,High-Value,94.0,Month-to-month,2,Yes,0.9922169074742567
9497-QCMMS,High-Value,93.55,Month-to-month,1,Yes,0.9913339116823557
2012-NWRPA,High-Value,99.55,Month-to-month,11,Yes,0.9890385468909205
8884-ADFVN,High-Value,101.95,Month-to-month,7,Yes,0.9888839322382088
3737-GCSPV,High-Value,96.2,Month-to-month,11,Yes,0.9886890125087959
3988-RQIXO,High-Value,91.3,Month-to-month,1,Yes,0.9884692497821053
3319-DWOEP,High-Value,95.75,Month-to-month,6,Yes,0.9880239139312401
7783-YKGDV,High-Value,99.7,Month-to-month,12,Yes,0.9868960876807981
5293-WXJAK,High-Value,104.05,Month-to-month,11,Yes,0.9854431405492864
8168-UQWWF,High-Value,97.85,Month-to-month,11,Yes,0.9854263807473364
9889-TMAHG,High-Value,100.3,Month-to-month,8,Yes,0.9836245993356079
6688-UZPWD,High-Value,102.0,Month-to-month,11,Yes,0.9835796660663593
2612-RANWT,High-Value,100.15,Month-to-month,12,Yes,0.9828085389051737
3158-MOERK,High-Value,96.0,Month-to-month,2,Yes,0.982046081772029
7209-JCUDS,High-Value,94.9,Month-to-month,10,Yes,0.9810314182021649
1455-UGQVH,High-Value,98.5,Month-to-month,10,Yes,0.9806988597263728
1571-SAVHK,High-Value,99.95,Month-to-month,12,Yes,0.9804154112387861
4078-SAYYN,High-Value,100.75,Month-to-month,11,Yes,0.9801322016623863
9172-ANCRX,High-Value,98.7,Month-to-month,10,Yes,0.9801322016623863
0655-RBDUG,High-Value,98.05,Month-to-month,7,Yes,0.9794945753892931
3045-XETSH,High-Value,94.85,Month-to-month,10,Yes,0.9792131570967912
0107-YHINA,High-Value,99.75,Month-to-month,1,Yes,0.9788372341212114
3902-FOIGH,High-Value,101.35,Month-to-month,12,Yes,0.9786530184545011
7450-NWRTR,High-Value,99.45,Month-to-month,12,Yes,0.9786509619956214
5747-PMBSQ,High-Value,92.5,Month-to-month,10,Yes,0.978173766032497
0897-FEGMU,High-Value,99.5,Month-to-month,11,Yes,0.9778272762749638
9134-CEQMF,High-Value,89.5,Month-to-month,7,Yes,0.9775567872379056
2660-EMUBI,High-Value,95.35,Month-to-month,10,Yes,0.9772957313914433
5419-JPRRN,High-Value,101.45,Month-to-month,1,Yes,0.9756472570008862
2929-ERCFZ,High-Value,94.2,Month-to-month,8,Yes,0.9751209217351382
1567-DSCIC,High-Value,94.0,Month-to-month,8,Yes,0.9751209217351382
2982-VPSGI,High-Value,94.0,Month-to-month,11,Yes,0.9742442191907347
1450-GALXR,High-Value,98.5,Month-to-month,10,Yes,0.9741930486517747
2462-XIIJB,High-Value,92.5,Month-to-month,5,Yes,0.9732299626721695
1374-DMZUI,High-Value,94.3,Month-to-month,4,Yes,0.9731028548606693
9057-SIHCH,High-Value,96.6,Month-to-month,3,Yes,0.9729095095190484
7526-BEZQB,High-Value,96.05,Month-to-month,12,Yes,0.9725053850899832
4228-ZGYUW,High-Value,90.05,Month-to-month,4,Yes,0.9723520387634244
6328-ZPBGN,High-Value,95.15,Month-to-month,11,Yes,0.9723141634896081
7228-OMTPN,High-Value,88.45,Month-to-month,4,Yes,0.971613246941405
2265-CYWIV,High-Value,99.6,Month-to-month,4,Yes,0.9716043533286459
9565-DJPIB,High-Value,89.6,Month-to-month,4,Yes,0.9713517741693858
9025-AOMKI,High-Value,93.55,Month-to-month,6,Yes,0.9707780660707452
0345-HKJVM,High-Value,89.3,Month-to-month,6,Yes,0.9699645651014912
7005-CCBKV,High-Value,84.4,Month-to-month,6,Yes,0.9687849238020353
7295-JOMMD,High-Value,98.1,Month-to-month,4,Yes,0.9680258518796443
2454-RPBRZ,High-Value,98.1,Month-to-month,12,Yes,0.9675092562956421
8937-RDTHP,High-Value,84.6,Month-to-month,1,Yes,0.9652951773352278
5299-RULOA,High-Value,100.25,Month-to-month,10,Yes,0.9647643930081544
2180-DXNEG,High-Value,96.0,Month-to-month,12,Yes,0.9640929004072462
9189-JWSHV,High-Value,93.55,Month-to-month,24,Yes,0.9637398432239059
9809-IMGCQ,High-Value,96.7,Month-to-month,22,Yes,0.9631337276120991
4094-NSEDU,High-Value,94.25,Month-to-month,21,Yes,0.9631337276120991
3049-SOLAY,High-Value,95.2,Month-to-month,3,Yes,0.9630964041501388
2027-FECZV,High-Value,106.7,Month-to-month,12,Yes,0.9630012341385927
8739-WWKDU,High-Value,89.5,Month-to-month,25,Yes,0.9628701493954503
8922-LIEGH,High-Value,89.7,Month-to-month,25,Yes,0.9628701493954503
5949-XIKAE,High-Value,83.55,Month-to-month,8,Yes,0.9626089305139659
4285-GYRQC,High-Value,86.25,Month-to-month,7,Yes,0.9622022274749399
9253-QXKBE,High-Value,94.45,Month-to-month,29,Yes,0.9621080156628856
8443-WVPSS,High-Value,99.85,Month-to-month,10,Yes,0.9620476078936124
4192-GORJT,High-Value,94.45,Month-to-month,5,Yes,0.961376418983714
6595-YGXIT,High-Value,88.95,Month-to-month,25,Yes,0.9611592805143815
0329-GTIAJ,High-Value,97.9,Month-to-month,3,Yes,0.9608656458954519
9846-GKXAS,High-Value,90.8,Month-to-month,9,Yes,0.960831542336934
3318-OSATS,High-Value,95.45,Month-to-month,35,Yes,0.9605122322031177
